
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-049	compact	2016	1512	3048192	2951037	2918352	32685	0	192	119	156	46	29	7822290	7874610	52320	7822290	7874610	52320	72929042	38464542	92765041	57701542	33471708	3792	8474791	418958	130416	11738778	62333	402816
phase_a	clic-validation-049	low-latency	2016	1512	3048192	2951037	2918352	32685	0	48	37	46	16	16	8108738	7932096	-176642	8108738	7932096	-176642	70632458	36609375	90014875	55011250	33003417	2000	8512000	104791	42334	11738778	21735	201408
phase_a	clic-validation-050	compact	1512	2016	3048192	2767844	2705621	62223	0	192	141	173	39	24	7378716	7466748	88032	7378716	7466748	88032	67625708	37857250	87060791	56533250	30653750	4417	8197125	420083	118667	10946930	63918	402816
phase_a	clic-validation-050	low-latency	1512	2016	3048192	2767844	2705621	62223	0	48	38	45	16	15	7478216	7347126	-131090	7478216	7347126	-131090	66893916	35744375	85601541	54632042	31043375	2167	8339958	99833	38167	10946930	20303	201408
phase_a	clic-validation-051	compact	2024	1518	3072432	3070044	3069328	716	0	192	157	180	51	18	8580442	8690650	110208	8580442	8690650	110208	69670125	40735583	87122417	57791083	28346166	3667	8499167	402375	145625	12278744	85139	402816
phase_a	clic-validation-051	low-latency	2024	1518	3072432	3070044	3069328	716	0	48	38	40	16	9	8648696	8738362	89666	8648696	8738362	89666	67332625	37411750	84506791	54520334	28083083	2083	8584000	107084	35333	12278744	25267	201408
phase_a	clic-validation-052	compact	2024	1518	3072432	3046525	3036788	9737	0	192	143	170	43	27	7718096	7800212	82116	7718096	7800212	82116	75190042	38354791	93899459	56713541	34920125	4000	8587041	387209	120750	12166626	57238	402816
phase_a	clic-validation-052	low-latency	2024	1518	3072432	3046525	3036788	9737	0	48	40	48	16	16	7997574	7809292	-188282	7997574	7809292	-188282	78192458	39277750	94424625	56398500	34834334	2292	8302458	96750	34458	12166626	17920	201408
phase_a	clic-validation-053	compact	1518	2024	3072432	3033821	3018822	14999	0	192	129	148	27	22	7672802	7690132	17330	7672802	7690132	17330	78102584	40237458	97648083	60387500	37441458	7708	8571208	392042	125250	12105286	51145	402816
phase_a	clic-validation-053	low-latency	1518	2024	3072432	3033821	3018822	14999	0	48	34	41	16	15	7683910	7723534	39624	7683910	7723534	39624	76847584	37283084	97574875	57531208	37720875	2292	8561208	98333	31958	12105286	17158	201408
phase_a	clic-validation-054	compact	1518	2024	3072432	2978804	2952755	26049	0	192	102	129	32	26	7105098	7156370	51272	7105098	7156370	51272	77444542	39912208	97710500	59004500	37731959	3625	8511959	436625	110750	11863118	37267	402816
