
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-002	compact	26	47	48	9	55	126	28098	31477	1	2	510458	53708	50084	92375	706708	1530875	91500	795750	5293364	5288606	-4758	1	0
p16-step	clic-validation-002	compact	27	48	49	34	77	86	26723	19201	4	1	553791	60542	85541	95583	795583	1597167	113042	950416	5288606	5284508	-4098	1	0
p16-step	clic-validation-002	compact	28	49	50	30	52	61	26090	17230	9	2	602375	215667	395166	137333	1350666	1629542	92083	865042	5284508	5276306	-8202	1	0
p16-step	clic-validation-002	compact	29	50	51	44	134	109	25065	21945	6	2	527083	154750	238917	93916	1014666	1635042	95833	847542	5276306	5271808	-4498	1	0
p16-step	clic-validation-002	compact	30	51	52	31	139	141	23826	29395	1	2	536084	46375	43750	92833	719084	1778375	102125	956041	5271808	5269402	-2406	1	0
p16-step	clic-validation-002	compact	31	52	53	39	82	83	22868	18811	4	1	544500	61792	85625	91333	783375	1682958	100333	889125	5269402	5266002	-3400	1	0
p16-step	clic-validation-002	compact	32	53	54	42	13	15	22659	19855	2	1	546375	32667	31458	92500	703125	1682875	91292	886791	5266002	5261918	-4084	1	0
p16-step	clic-validation-002	compact	33	54	55	1	108	117	22285	18902	4	2	550666	105875	208417	117709	982750	1760375	95958	929916	5261918	5257532	-4386	1	0
p16-step	clic-validation-002	compact	34	55	56	34	77	84	20947	11918	3	1	609583	46334	57791	91709	805417	1718542	97291	948125	5257532	5253894	-3638	1	0
p16-step	clic-validation-002	compact	35	56	57	8	75	69	20800	29542	2	2	569291	45375	57709	91375	763791	1748459	91875	970333	5253894	5248378	-5516	1	0
p16-step	clic-validation-002	compact	36	57	58	39	82	64	19781	13308	2	2	707917	47666	62250	116083	934084	1757000	91167	944375	5248378	5245802	-2576	1	0
p16-step	clic-validation-002	compact	37	58	59	44	134	119	19579	17245	3	3	576041	100208	151917	92875	921166	1793792	103834	957333	5245802	5239732	-6070	1	0
p16-step	clic-validation-002	compact	38	59	60	30	52	90	19371	8445	2	7	591334	178959	293750	94041	1158125	1821583	99667	992167	5239732	5235046	-4686	1	0
p16-step	clic-validation-002	compact	39	60	61	37	131	103	18693	14758	3	2	592250	83292	118708	94583	888958	1850708	105375	1004083	5235046	5231240	-3806	1	0
p16-step	clic-validation-002	compact	40	61	62	4	27	30	18365	17215	2	2	605334	44583	55167	92209	797334	1866542	100917	1008292	5231240	5227726	-3514	1	0
p16-step	clic-validation-002	compact	41	62	63	0	78	97	18079	17517	3	2	676042	68500	90917	107959	943625	2049958	95542	1134500	5227726	5224648	-3078	1	0
p16-step	clic-validation-002	compact	42	63	64	7	100	102	17032	20207	1	1	621583	29625	5250	95250	751792	1985541	92958	1033667	5224648	5222122	-2526	1	0
p16	clic-validation-002	low-latency	9437184	40	1958	4734167	9434830	168480	1299875	116667	51333	280875	288750	305167	27250	295917	2250	13272	13272	13272	13272	243480	48147655	6018457	6018478	13	48655542	6081943	6081964	13	48147655	6018457	6018478	13	46151232	5768904	5768924	16	7003512	5942826	E	Split	Split	5768924	2c8cef912c5c5eea	3	1	1	1
p16-step	clic-validation-002	low-latency	1	13	14	0	18	8	378872	310611	3	6	184042	166125	311042	29333	690667	318958	28916	287500	6018478	5904582	-113896	1	0
p16-step	clic-validation-002	low-latency	2	14	15	6	4	11	357804	425231	2	1	192125	40584	39166	27625	299542	335583	28875	295542	5904582	5804180	-100402	1	0
p16-step	clic-validation-002	low-latency	3	15	16	13	23	8	237264	209420	1	5	213250	116500	199167	27208	556250	335625	28459	303167	5804180	5768924	-35256	1	0
p16	clic-validation-003	compact	9437184	144	5041	5170459	9406614	304416	3902334	384750	128708	526541	530750	1293458	83792	548541	4501	40364	40364	40364	40364	619936	49003124	6125391	6125412	24	48781066	6097634	6097654	26	47573080	5946635	5946656	26	43996650	5499582	5499602	64	6632596	6050450	R	Split	Split	5499602	edafd8cd4efcf311	38	1	1	1
p16-step	clic-validation-003	compact	1	26	27	6	21	84	157762	152016	1	17	413750	327000	653459	87458	1481708	1254041	89084	541292	5946656	5912438	-34218	1	0
p16-step	clic-validation-003	compact	2	27	28	11	14	27	106116	105804	5	10	475542	268666	488083	107459	1339875	1372917	98583	582375	5912438	5884868	-27570	1	0
p16-step	clic-validation-003	compact	3	28	29	24	118	119	98152	95146	1	1	422375	23791	2750	91041	540125	1281166	94708	556292	5884868	5872356	-12512	1	0
p16-step	clic-validation-003	compact	4	29	30	2	126	71	91263	85692	3	9	431791	199500	397334	88959	1117666	1300125	91917	568417	5872356	5842852	-29504	1	0
p16-step	clic-validation-003	compact	5	30	31	4	65	64	86232	81675	2	6	416000	131875	231625	88791	868333	1383417	100458	700250	5842852	5827926	-14926	1	0
p16-step	clic-validation-003	compact	6	31	32	27	26	30	79042	79114	7	5	467584	196250	376333	97375	1137709	1452708	96916	658041	5827926	5817906	-10020	1	0
p16-step	clic-validation-003	compact	7	32	33	2	42	41	77816	73350	6	5	494792	149500	290042	90792	1025209	1371000	89875	618791	5817906	5789372	-28534	1	0
